Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,PCA1,PCA2,PCA3,PCA4,Job_Satisfaction_V44
3,2,4,2,2,0.31856460537807235,0.35637198193455305,0.49719595955713075,0.12111433334820648,2
1,1,4,1,1,-2.437381793882583,-0.16008183343183724,0.8375209297105611,0.5691187420119522,1
2,2,4,1,1,-1.5140660382760316,0.6549537768586917,0.019007785978449397,0.8587639257362163,1
2,1,2,2,2,-0.4670843101875345,-1.8917964076426115,0.12061671387394766,0.017883102294510875,2
3,2,5,1,1,-1.1926543869486923,1.7238922800126308,0.16130256737093288,0.1685429561165698,1
2,1,5,1,2,-1.3623691351488154,0.5871610979578639,1.5817104143263607,-0.09505045020463423,1
3,3,1,2,2,1.0581355496982294,-1.3306636902154925,-1.658704354982759,1.2873944393626855,2
3,2,2,2,2,0.45623144541901706,-1.0767607973520823,-0.697896429858164,0.3075282860187751,2
4,1,3,2,2,0.24457241248761613,-0.47048579097805104,-0.19233991804873266,-1.269351860609498,3
4,2,3,2,2,0.7776430967463562,-0.007822294198143334,-0.5556016484656804,-0.38269268360087144,3
4,2,1,2,2,0.9153099367873009,-1.440955073484779,-1.750694037880975,-0.19627873093030285,5
2,1,3,2,1,-1.2895187376144355,-0.8535344462350559,0.11626820535827921,-0.10137565144383358,2
4,3,2,4,2,2.7571163308252964,-0.9202418604025974,-0.8533198062492174,0.2637987167296238,3
2,1,3,2,1,-1.2895187376144355,-0.8535344462350559,0.11626820535827921,-0.10137565144383358,2
4,3,3,3,2,1.99949834590496,0.12558286591124238,-0.5873184952120991,0.3372791169010472,3
1,2,1,1,1,-1.697810849562426,-1.8471175055818827,-1.3183793848293288,1.735398848026431,1
4,2,2,3,3,2.288862089073121,-1.3753425922762208,-0.21970825627948293,-0.43012130636923473,4
2,3,3,3,2,1.219008203209337,-0.5791613611100002,0.3231843314182286,1.5313071034697714,3
2,1,4,2,2,-0.6047511502284791,-0.45866362835597596,1.3157091032892425,-0.1685308503760577,2
3,3,3,3,2,1.6092532745571484,-0.2267892475993789,-0.1320670818969353,0.9342931101854094,6
4,1,5,2,2,0.10690557244667147,0.9626469883085843,1.002752471366562,-1.4557658132800666,1
1,1,3,2,2,-0.9261628015558182,-1.5276021315099149,1.173414321896759,0.5216901192435888,2
4,2,4,1,1,-0.7335758955804085,1.3596980038799344,-0.8914950406518782,-0.3352640608325081,3
3,2,3,1,1,-1.0549875469077477,0.29075950072599516,-1.0337898220443618,0.35495690878713837,3
4,1,4,4,4,3.0605101370797283,-1.055827218204253,2.272085450446605,-1.6438300351520774,1
3,2,4,3,2,1.0073491702779362,0.027113645264031115,0.8287408432276598,-0.045573043158501275,3
4,1,2,5,2,2.37975952720768,-2.174827190632935,0.20474853825520756,-1.6762070137943368,3
3,3,4,2,2,0.8516352896368125,0.8190354787144608,0.1339342291401829,1.0077735103568328,2
5,4,2,3,3,3.7452485289384123,-0.09764348520578449,-1.4014831304285422,0.746183054363656,2
2,1,3,1,1,-1.9783033025142993,-0.5242761095645339,-0.21527667831224997,0.06531172506287418,2
3,4,4,3,3,2.827091546201845,0.6307450670596086,0.7041120856170802,1.7537970882618115,5
4,5,1,4,3,4.645692126769678,-1.0331768282503373,-1.5754947585674441,2.156375824485221,7
2,2,4,1,1,-1.5140660382760316,0.6549537768586917,0.019007785978449397,0.8587639257362163,2
2,1,2,2,2,-0.4670843101875345,-1.8917964076426115,0.12061671387394766,0.017883102294510875,2
4,2,4,2,2,0.7088096767258839,0.7087440954451745,0.041944546241966876,-0.4758996599361557,3
5,2,4,4,2,2.476623877873423,0.40259953561475165,0.24978290026786135,-1.4062884062339336,3
5,2,4,3,3,2.5414403203799876,0.4101623005210358,0.520132719820648,-1.2135492523241656,3
5,2,5,2,2,1.030221328053223,1.7776825985991132,0.1842393276344504,-1.1661206295558024,3
3,2,2,2,1,-0.2973695619874115,-0.7550652255878445,-1.29979113308148,0.28147650861571494,3
1,1,4,2,2,-0.9949962215762905,-0.811035741866597,1.7709605166044065,0.4284831429083045,2
2,2,2,4,2,1.4435555038709331,-2.0876495842037475,0.42044475079805815,0.5711675262897217,5
2,1,3,1,1,-1.9783033025142993,-0.5242761095645339,-0.21527667831224997,0.06531172506287418,2
5,2,4,1,1,-0.34333082423259703,1.7120701173905557,-1.3467464539670422,-0.9322780541168703,1
5,1,2,1,1,-0.7387346684503924,-0.18372615867598774,-2.1785771129653893,-1.6325232784549282,2
2,1,3,2,3,0.21768327719842173,-1.4969255897635316,1.3200576118049112,-0.04927209663771326,3
4,3,3,2,3,2.064314788411525,0.13314563081752648,-0.3169686756593123,0.5300182708108152,5
2,1,4,2,2,-0.6047511502284791,-0.45866362835597596,1.3157091032892425,-0.1685308503760577,2
3,2,5,1,1,-1.1926543869486923,1.7238922800126308,0.16130256737093288,0.1685429561165698,1
1,1,4,1,1,-2.437381793882583,-0.16008183343183724,0.8375209297105611,0.5691187420119522,2
3,2,5,1,1,-1.1926543869486923,1.7238922800126308,0.16130256737093288,0.1685429561165698,1
3,2,4,1,1,-1.12382096692822,1.007325890369313,-0.43624362733671435,0.2617499324518541,3
4,1,1,2,2,0.3822392525285607,-1.9036185702646866,-1.3874323074640271,-1.0829379079389294,3
4,4,2,2,2,1.9126178852843085,0.20093830971835414,-1.8796713040072235,1.4838326467516654,5
3,2,4,2,1,-0.43503640202835614,0.678067553698791,-0.10469874366618519,0.09506255594514632,3
3,3,5,3,3,2.2251874419226327,0.8846479599230186,1.6649200107416755,0.7739309349179011,4
2,1,4,2,1,-1.3583521576349078,-0.13696805659173805,0.7138144000659264,-0.19458262777911786,3
3,2,5,2,1,-0.5038698220488285,1.3946339433421087,0.49284745104146216,0.001855579609862033,4
3,2,3,3,2,1.0761825902984086,-0.6894527443792865,0.2311946485200125,0.04763393317678302,3
5,3,5,2,2,1.563292012311963,2.240346095379021,-0.1790224027824975,-0.27946145254717575,3
4,3,4,1,1,-0.20050521132166846,1.8223615006598421,-1.254756771068826,0.5513951161761184,3
5,3,3,3,3,3.1433444246592,0.1562594076576259,-0.4406752053039472,-0.23368309898025474,1
3,2,3,3,3,1.8297835977048371,-1.0111483161435244,0.8330893517433284,0.07368571057984319,1
1,1,5,1,1,-2.5062152139030553,0.5564845562114805,1.4350671244182087,0.4759117656766678,2
2,1,3,2,2,-0.5359177302080068,-1.1752300179992938,0.7181629085815951,-0.07532387404077341,2
4,2,3,2,2,0.7776430967463562,-0.007822294198143334,-0.5556016484656804,-0.38269268360087144,3
3,1,2,1,1,-1.5192248111460156,-0.8884703856972301,-1.2680742863350614,-0.4384952918862037,2
5,4,5,2,3,2.8499637039771315,2.3813140203946905,0.05961057002387055,0.6332495018645108,5
3,1,3,2,2,-0.14567265886019537,-0.8228579044886722,0.2629114952664312,-0.6723378673251356,2
4,2,4,2,1,-0.044791330680544666,1.0304396672094123,-0.5599501569813491,-0.5019514373392158,3
3,2,4,2,1,-0.43503640202835614,0.678067553698791,-0.10469874366618519,0.09506255594514632,3
2,2,5,2,2,-0.14051388599021142,0.7205662580672496,1.549993567579942,0.6249213502972844,2
2,1,5,2,2,-0.6735845702489514,0.25790276128734174,1.91325529799689,-0.261737826711342,2
3,2,2,2,2,0.45623144541901706,-1.0767607973520823,-0.697896429858164,0.3075282860187751,3
4,3,3,2,2,1.3107137810050962,0.4548412025817643,-0.9188633788826283,0.503966493407755,3
2,2,4,1,1,-1.5140660382760316,0.6549537768586917,0.019007785978449397,0.8587639257362163,2
2,1,2,1,2,-1.1558688750873984,-1.5625380709720893,-0.21092816979658155,0.18457047880121866,2
1,1,5,2,2,-1.063829641596763,-0.09446935222327935,2.3685067113120537,0.33527616657302023,2
2,2,2,2,2,0.06598637407120558,-1.4291329108627038,-0.24264501654300022,0.9045422793031372,4
3,1,5,1,1,-1.7257250712074326,1.2612287832327231,0.5245642977878807,-0.7181162208920565,1
2,2,2,2,2,0.06598637407120558,-1.4291329108627038,-0.24264501654300022,0.9045422793031372,4
1,1,3,1,1,-2.3685483738621107,-0.8766482230751548,0.2399747350029138,0.6623257183472364,1
4,2,3,2,2,0.7776430967463562,-0.007822294198143334,-0.5556016484656804,-0.38269268360087144,3
4,2,5,2,2,0.6399762567054116,1.425310485088492,0.6394907409496142,-0.56910663627144,3
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,0.3549011781646472,0.811335302967853,3
5,2,5,4,2,2.407790457852951,1.1191659252580692,0.8473290949755088,-1.4994953825692179,3
3,1,3,2,2,-0.14567265886019537,-0.8228579044886722,0.2629114952664312,-0.6723378673251356,2
1,1,4,2,2,-0.9949962215762905,-0.811035741866597,1.7709605166044065,0.4284831429083045,1
2,2,3,1,1,-1.4452326182555593,-0.061612612784626035,-0.5785384087291979,0.9519709020715006,3
3,4,3,2,2,1.4535393939160246,0.5651325858510509,-0.8268736959844122,1.9876396637007432,3
2,1,2,2,2,-0.4670843101875345,-1.8917964076426115,0.12061671387394766,0.017883102294510875,3
2,2,2,2,2,0.06598637407120558,-1.4291329108627038,-0.24264501654300022,0.9045422793031372,3
2,1,3,1,1,-1.9783033025142993,-0.5242761095645339,-0.21527667831224997,0.06531172506287418,2
3,1,4,2,1,-0.9681070862870962,0.21540405691888329,0.25856298675076267,-0.7915966210634799,3
2,3,3,2,2,0.5302236383094733,-0.24990302443947823,-0.008360552252300606,1.697994479976479,4
2,1,3,2,2,-0.5359177302080068,-1.1752300179992938,0.7181629085815951,-0.07532387404077341,3
5,5,1,2,3,3.658368068317761,-0.02228804139867243,-2.693835939223667,1.8927365842142743,7
2,1,5,1,1,-2.115970142555244,0.9088566697221017,0.9798157111030447,-0.1211022276076944,1
4,2,2,3,3,2.288862089073121,-1.3753425922762208,-0.21970825627948293,-0.43012130636923473,3
4,2,4,2,2,0.7088096767258839,0.7087440954451745,0.041944546241966876,-0.4758996599361557,3
2,2,2,2,2,0.06598637407120558,-1.4291329108627038,-0.24264501654300022,0.9045422793031372,3
4,1,2,2,2,0.3134058325080884,-1.187052180621369,-0.78988611275638,-1.1761448842742137,3
3,2,2,2,2,0.45623144541901706,-1.0767607973520823,-0.697896429858164,0.3075282860187751,2
2,1,4,2,1,-1.3583521576349078,-0.13696805659173805,0.7138144000659264,-0.19458262777911786,2
3,2,5,1,2,-0.43905337954226376,1.4021967082483928,0.7631972705942488,0.19459473351962997,2
2,2,4,2,2,-0.0716804659697391,0.003999868423931804,0.9524473728722945,0.7181283266325686,3
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,0.3549011781646472,0.811335302967853,2
3,2,3,2,1,-0.3662029820078838,-0.03849883594452679,-0.7022449383738326,0.1882695322804306,3
2,1,1,1,1,-1.8406364624733547,-1.9574088888511694,-1.4103690677275447,0.25172567773344273,1
2,2,4,2,2,-0.0716804659697391,0.003999868423931804,0.9524473728722945,0.7181283266325686,3
3,2,4,2,1,-0.43503640202835614,0.678067553698791,-0.10469874366618519,0.09506255594514632,3
3,2,5,1,1,-1.1926543869486923,1.7238922800126308,0.16130256737093288,0.1685429561165698,1
3,1,4,1,1,-1.6568916511869602,0.5446623935894053,-0.07298189691976657,-0.6249092445567722,2
5,1,5,2,2,0.497150643794483,1.3150191018192054,0.5475010580513981,-2.0527798065644283,2
2,2,4,2,2,-0.0716804659697391,0.003999868423931804,0.9524473728722945,0.7181283266325686,3
4,1,3,1,1,-1.1978131598186763,0.18046811745670885,-1.1257795049425778,-1.1287162615058504,2
5,2,5,2,2,1.030221328053223,1.7776825985991132,0.1842393276344504,-1.1661206295558024,3
5,2,3,2,2,1.1678881680941677,0.3445498193124778,-1.0108530617808442,-0.9797066768852335,3
4,1,2,4,2,1.690974962307816,-1.8455688539624129,-0.12679634541532167,-1.5095196372876292,3
