Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,PCA1,PCA2,Job_Satisfaction_V44
3,1,3,1,1,-1.6797758145265047,-0.10400972667984261,2
1,1,2,3,2,-0.7743742891508157,-2.4800924846061565,4
2,2,3,2,2,-0.38106368058640966,-0.7022325012082153,3
3,2,4,2,2,-0.03415199371460974,0.4789577858669154,2
2,2,5,1,2,-1.1153924446378194,1.0993644611974738,1
2,2,2,2,1,-0.9110895741495034,-1.1740442798618453,2
4,1,4,2,1,-0.7982646248766074,0.8344235791804463,2
2,1,3,4,2,0.10713690049908159,-1.541659178745868,2
2,2,3,1,1,-1.545553707564257,-0.15186730805158016,2
3,2,4,2,2,-0.03415199371460974,0.4789577858669154,2
5,2,3,2,2,0.9592652719389584,0.5030783882309053,2
2,1,2,2,1,-1.492087998620207,-1.5279569949698146,1
4,2,3,2,2,0.5124889544305022,0.10130809175119854,3
2,2,5,1,2,-1.1153924446378194,1.0993644611974738,1
5,1,5,1,1,-0.9859524407829051,2.258370847470418,1
3,1,5,2,2,-0.7150150488219695,0.9044650613543694,2
3,2,4,1,1,-1.198642020692457,1.0293229790235505,2
2,1,3,2,1,-1.591952629256863,-0.7485370043743911,1
1,1,3,5,1,-0.4349304384310267,-1.8785782444986234,2
3,3,2,2,1,0.11668516782965661,-0.4183612682741691,3
3,2,3,1,1,-1.0987773900558009,0.24990298842812672,2
4,3,3,3,3,2.2579774058790534,-0.0951443862974672,5
1,1,5,2,2,-1.6085676838388816,0.10092446839495578,1
2,1,4,2,1,-1.691817259893519,0.03088298622103243,2
2,2,4,1,1,-1.6454183382009129,0.6275526825438434,1
1,1,3,2,2,-1.4088384225655695,-1.4579155127958914,3
2,1,4,2,1,-1.691817259893519,0.03088298622103243,1
4,2,4,2,2,0.41262432379384617,0.8807280823466221,2
2,1,4,3,2,-0.5273272329156719,-0.5194822069356028,2
3,2,4,1,1,-1.198642020692457,1.0293229790235505,2
2,1,4,2,1,-1.691817259893519,0.03088298622103243,3
5,2,2,5,1,2.033037886710157,-0.69700433406725,5
4,2,2,2,2,0.6123535850671583,-0.6781118988442251,5
3,2,4,1,1,-1.198642020692457,1.0293229790235505,2
3,2,4,2,1,-0.6640425179143595,0.7865659978087087,3
3,1,3,2,2,-0.5152857875486574,-0.6543749198364778,2
2,1,4,1,1,-2.226416762671617,0.2736399674358742,2
5,3,2,5,4,4.503707883780111,-1.2659162547846607,7
3,2,3,1,1,-1.0987773900558009,0.24990298842812672,3
2,1,3,1,1,-2.126552132034961,-0.5057800231595494,2
3,1,4,2,1,-1.2450409423850632,0.43265328270073933,3
4,3,5,2,2,0.8937581176278943,2.014060788050015,3
5,3,2,2,1,1.0102378028465688,0.38517932468524463,4
3,2,4,4,1,0.4051564876418355,0.3010520353790252,3
3,2,4,2,1,-0.6640425179143595,0.7865659978087087,2
4,4,5,4,4,3.803736596054293,1.2672431168447145,1
3,3,4,3,1,0.451555409334442,0.8977217317018363,3
2,2,3,2,2,-0.38106368058640966,-0.7022325012082153,2
1,1,3,2,1,-2.0387289467653193,-1.150307300854098,2
4,3,2,3,2,1.72795151231596,-0.5669561649510975,5
3,2,4,2,2,-0.03415199371460974,0.4789577858669154,2
4,2,2,2,2,0.6123535850671583,-0.6781118988442251,3
3,2,3,2,2,0.06571263692204636,-0.3004622047285084,1
3,2,3,1,1,-1.0987773900558009,0.24990298842812672,2
4,1,4,1,1,-1.3328641276547049,1.077180560395288,2
2,1,2,2,2,-0.8621974744204572,-1.835565206911608,2
3,2,2,2,2,0.16557726755870242,-1.079882195323932,3
1,1,4,1,1,-2.6731930801800727,-0.12813032904383265,1
3,3,2,3,3,1.9110657190072537,-1.2763346733725975,5
5,2,5,2,2,0.7595360106656462,2.0619183694217527,3
2,2,2,2,2,-0.28119904994975364,-1.4816524918036387,3
4,4,3,3,2,2.2090853061500075,0.5663765407522955,4
3,3,5,4,1,0.8862902814758833,1.434384741082418,3
4,2,5,2,2,0.3127596931571901,1.660148072942046,1
2,2,3,2,2,-0.38106368058640966,-0.7022325012082153,4
1,1,4,2,1,-2.1385935774019753,-0.3708873102586744,2
3,1,3,2,2,-0.5152857875486574,-0.6543749198364778,2
3,1,3,2,1,-1.145176311748407,-0.34676670789468433,2
2,2,2,2,2,-0.28119904994975364,-1.4816524918036387,3
3,1,5,1,1,-1.8795050757998168,1.4548302545110046,2
4,3,5,2,2,0.8937581176278943,2.014060788050015,4
2,1,5,3,2,-0.627191863552328,0.2599377836598209,2
3,1,4,1,1,-1.7796404451631607,0.675410263915581,2
3,2,3,3,2,0.6003121397001439,-0.5432191859433502,2
3,2,3,3,3,1.2302026638998937,-0.8508273978851435,4
4,1,3,1,2,-0.6031089728182991,-0.009847642141929052,4
3,2,3,2,1,-0.5641778872777035,0.00714600721328497,2
2,3,2,2,1,-0.33009114967879943,-0.820131564753876,3
2,2,2,2,2,-0.28119904994975364,-1.4816524918036387,3
2,2,2,2,2,-0.28119904994975364,-1.4816524918036387,3
