Sample No,Job_Retention_V13,Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,Job_Satisfaction_V44
1,2,3,2,4,2,2,2
2,3,1,1,4,1,1,1
3,4,2,2,4,1,1,1
4,1,2,1,2,2,2,2
5,1,3,2,5,1,1,1
6,3,2,1,5,1,2,1
7,2,3,3,1,2,2,2
8,2,3,2,2,2,2,2
9,2,4,1,3,2,2,3
10,3,4,2,3,2,2,3
11,1,4,2,1,2,2,5
14,4,2,1,3,2,1,2
15,1,4,3,2,4,2,3
16,4,2,1,3,2,1,2
17,3,4,3,3,3,2,3
19,4,1,2,1,1,1,1
20,1,4,2,2,3,3,4
21,2,2,3,3,3,2,3
26,3,2,1,4,2,2,2
27,3,3,3,3,3,2,6
28,3,4,1,5,2,2,1
29,4,1,1,3,2,2,2
30,2,4,2,4,1,1,3
31,2,3,2,3,1,1,3
32,4,4,1,4,4,4,1
33,3,3,2,4,3,2,3
35,1,4,1,2,5,2,3
36,3,3,3,4,2,2,2
40,3,5,4,2,3,3,2
43,3,2,1,3,1,1,2
44,3,3,4,4,3,3,5
45,2,4,5,1,4,3,7
46,3,2,2,4,1,1,2
48,2,2,1,2,2,2,2
49,1,4,2,4,2,2,3
50,4,5,2,4,4,2,3
51,3,5,2,4,3,3,3
54,2,5,2,5,2,2,3
55,3,3,2,2,2,1,3
56,3,1,1,4,2,2,2
58,2,2,2,2,4,2,5
59,3,2,1,3,1,1,2
60,1,5,2,4,1,1,1
63,4,5,1,2,1,1,2
64,4,2,1,3,2,3,3
65,3,4,3,3,2,3,5
66,1,2,1,4,2,2,2
67,2,3,2,5,1,1,1
68,1,1,1,4,1,1,2
70,2,3,2,5,1,1,1
71,3,3,2,4,1,1,3
72,4,4,1,1,2,2,3
74,3,4,4,2,2,2,5
75,4,3,2,4,2,1,3
76,1,3,3,5,3,3,4
77,3,2,1,4,2,1,3
78,4,3,2,5,2,1,4
79,4,3,2,3,3,2,3
80,3,5,3,5,2,2,3
81,4,4,3,4,1,1,3
85,2,5,3,3,3,3,1
86,2,3,2,3,3,3,1
87,4,1,1,5,1,1,2
88,2,2,1,3,2,2,2
90,3,4,2,3,2,2,3
91,4,3,1,2,1,1,2
92,3,5,4,5,2,3,5
93,4,3,1,3,2,2,2
94,3,4,2,4,2,1,3
96,4,3,2,4,2,1,3
97,1,2,2,5,2,2,2
98,3,2,1,5,2,2,2
99,3,3,2,2,2,2,3
100,4,4,3,3,2,2,3
101,3,2,2,4,1,1,2
102,2,2,1,2,1,2,2
105,3,1,1,5,2,2,2
106,1,2,2,2,2,2,4
107,3,3,1,5,1,1,1
108,3,2,2,2,2,2,4
110,1,1,1,3,1,1,1
111,2,4,2,3,2,2,3
112,4,4,2,5,2,2,3
114,2,2,2,3,2,2,3
116,3,5,2,5,4,2,3
118,1,3,1,3,2,2,2
119,4,1,1,4,2,2,1
120,2,2,2,3,1,1,3
121,4,3,4,3,2,2,3
122,2,2,1,2,2,2,3
123,2,2,2,2,2,2,3
124,3,2,1,3,1,1,2
125,1,3,1,4,2,1,3
126,2,2,3,3,2,2,4
127,1,2,1,3,2,2,3
130,1,5,5,1,2,3,7
132,4,2,1,5,1,1,1
134,3,4,2,2,3,3,3
136,4,4,2,4,2,2,3
137,3,2,2,2,2,2,3
138,2,4,1,2,2,2,3
139,4,3,2,2,2,2,2
140,2,2,1,4,2,1,2
141,2,3,2,5,1,2,2
142,2,2,2,4,2,2,3
144,4,2,2,3,2,2,2
146,4,3,2,3,2,1,3
147,3,2,1,1,1,1,1
150,3,2,2,4,2,2,3
151,4,3,2,4,2,1,3
152,3,3,2,5,1,1,1
154,3,3,1,4,1,1,2
155,4,5,1,5,2,2,2
157,1,2,2,4,2,2,3
158,3,4,1,3,1,1,2
159,3,5,2,5,2,2,3
160,3,5,2,3,2,2,3
163,3,4,1,2,4,2,3
165,2,1,1,2,1,2,3
167,1,4,2,3,2,2,3
170,2,5,2,2,1,1,3
174,3,2,1,4,1,1,2
175,2,3,2,2,2,2,3
177,2,4,4,3,4,2,3
178,3,2,2,5,2,1,2
179,4,4,1,4,1,1,2
180,1,3,2,3,4,2,3
182,3,4,1,2,2,2,2
186,2,2,1,3,2,1,2
188,2,4,2,3,3,2,4
191,3,5,1,2,2,1,3
193,3,4,4,5,2,2,3
196,2,3,2,4,2,1,1
197,2,4,4,3,4,4,4
199,2,2,2,3,1,1,2
200,3,4,4,2,4,4,5
201,2,2,3,3,1,1,3
203,3,3,2,3,2,2,2
204,1,2,4,3,2,1,4
206,1,3,2,5,3,2,3
207,3,2,1,4,1,1,3
208,3,5,4,5,3,3,4
210,1,4,2,2,2,2,2
211,4,4,1,2,3,2,3
212,4,1,1,3,2,2,2
213,3,3,1,3,2,2,2
215,3,4,2,4,1,2,3
216,1,2,2,4,2,2,2
217,3,1,1,5,1,1,1
218,1,2,2,2,2,2,3
