Sample No,Job_Retention_V13,Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,Job_Satisfaction_V44
1,4,3,1,3,1,1,2
2,2,1,1,2,3,2,4
3,3,2,2,3,2,2,3
4,3,3,2,4,2,2,2
6,1,2,2,5,1,2,1
7,2,2,2,2,2,1,2
9,4,4,1,4,2,1,2
10,3,2,1,3,4,2,2
12,2,2,2,3,1,1,2
14,3,3,2,4,2,2,2
16,1,5,2,3,2,2,2
18,4,2,1,2,2,1,1
19,1,4,2,3,2,2,3
21,4,2,2,5,1,2,1
22,4,5,1,5,1,1,1
24,2,3,1,5,2,2,2
25,4,3,2,4,1,1,2
26,3,2,1,3,2,1,1
27,3,1,1,3,5,1,2
28,4,3,3,2,2,1,3
29,3,3,2,3,1,1,2
30,4,4,3,3,3,3,5
31,4,1,1,5,2,2,1
32,3,2,1,4,2,1,2
33,4,2,2,4,1,1,1
34,2,1,1,3,2,2,3
35,4,2,1,4,2,1,1
38,3,4,2,4,2,2,2
40,4,2,1,4,3,2,2
41,3,3,2,4,1,1,2
42,3,2,1,4,2,1,3
43,4,5,2,2,5,1,5
44,3,4,2,2,2,2,5
45,4,3,2,4,1,1,2
46,3,3,2,4,2,1,3
47,1,3,1,3,2,2,2
48,4,2,1,4,1,1,2
49,1,5,3,2,5,4,7
50,4,3,2,3,1,1,3
52,4,2,1,3,1,1,2
53,1,3,1,4,2,1,3
54,3,4,3,5,2,2,3
55,1,5,3,2,2,1,4
56,3,3,2,4,4,1,3
57,2,3,2,4,2,1,2
58,1,4,4,5,4,4,1
59,4,3,3,4,3,1,3
60,4,2,2,3,2,2,2
61,4,1,1,3,2,1,2
62,2,4,3,2,3,2,5
63,2,3,2,4,2,2,2
64,1,4,2,2,2,2,3
65,2,3,2,3,2,2,1
66,2,3,2,3,1,1,2
68,2,4,1,4,1,1,2
69,1,2,1,2,2,2,2
70,2,3,2,2,2,2,3
71,4,1,1,4,1,1,1
72,1,3,3,2,3,3,5
73,1,5,2,5,2,2,3
76,2,2,2,2,2,2,3
77,3,4,4,3,3,2,4
78,4,3,3,5,4,1,3
81,4,4,2,5,2,2,1
82,1,2,2,3,2,2,4
83,3,1,1,4,2,1,2
86,4,3,1,3,2,2,2
88,4,3,1,3,2,1,2
90,1,2,2,2,2,2,3
92,4,3,1,5,1,1,2
93,3,4,3,5,2,2,4
94,4,2,1,5,3,2,2
95,3,3,1,4,1,1,2
96,2,3,2,3,3,2,2
97,1,3,2,3,3,3,4
98,2,4,1,3,1,2,4
99,1,3,2,3,2,1,2
101,4,2,3,2,2,1,3
103,3,2,2,2,2,2,3
106,3,2,2,2,2,2,3
108,1,3,2,2,2,2,3
109,4,2,1,3,2,1,2
