Sample No,Job_Retention_V13,Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,Job_Satisfaction_V44
1,2.0,3.0,2.0,4.0,2.0,2.0,2.0
2,3.0,1.0,1.0,4.0,1.0,1.0,1.0
3,4.0,2.0,2.0,4.0,1.0,1.0,1.0
4,1.0,2.0,1.0,2.0,2.0,2.0,2.0
5,1.0,3.0,2.0,5.0,1.0,1.0,1.0
6,3.0,2.0,1.0,5.0,1.0,2.0,1.0
7,,3.0,3.0,1.0,2.0,2.0,2.0
8,2.0,3.0,2.0,2.0,2.0,2.0,2.0
9,,4.0,1.0,3.0,2.0,2.0,3.0
10,3.0,4.0,2.0,3.0,2.0,2.0,3.0
11,1.0,4.0,,1.0,2.0,2.0,5.0
12,4.0,,,,,,
13,4.0,,,,,,
14,4.0,2.0,1.0,3.0,2.0,1.0,2.0
15,1.0,4.0,3.0,2.0,4.0,2.0,3.0
16,4.0,2.0,1.0,3.0,2.0,1.0,2.0
17,3.0,4.0,3.0,3.0,3.0,2.0,3.0
18,,,,,,,
19,4.0,1.0,2.0,1.0,1.0,1.0,1.0
20,1.0,4.0,2.0,2.0,3.0,3.0,4.0
21,2.0,2.0,3.0,3.0,3.0,2.0,3.0
22,4.0,,,,,,
23,,,,,,,
24,4.0,,,,,,
25,,,,,,,
26,3.0,2.0,1.0,4.0,2.0,2.0,2.0
27,,3.0,3.0,3.0,3.0,2.0,6.0
28,3.0,4.0,1.0,5.0,2.0,2.0,1.0
29,4.0,1.0,1.0,3.0,2.0,2.0,2.0
30,,4.0,2.0,4.0,1.0,1.0,3.0
31,2.0,3.0,2.0,3.0,1.0,1.0,3.0
32,4.0,4.0,1.0,4.0,,,1.0
33,3.0,3.0,2.0,4.0,3.0,2.0,3.0
34,,,,,,,
35,1.0,4.0,1.0,2.0,5.0,2.0,3.0
36,3.0,3.0,3.0,4.0,2.0,2.0,2.0
37,4.0,,,,,,
38,4.0,,,,,,
39,3.0,,,,,,
40,,5.0,4.0,2.0,,,2.0
41,1.0,,,,,,
42,3.0,,,,,,
43,3.0,2.0,1.0,3.0,1.0,1.0,2.0
44,3.0,3.0,4.0,4.0,3.0,3.0,5.0
45,2.0,4.0,5.0,1.0,4.0,3.0,7.0
46,3.0,2.0,2.0,4.0,1.0,1.0,2.0
47,,,,,,,
48,,2.0,1.0,2.0,2.0,2.0,2.0
49,1.0,4.0,2.0,4.0,2.0,2.0,3.0
50,4.0,5.0,2.0,4.0,4.0,2.0,3.0
51,,5.0,2.0,4.0,3.0,3.0,3.0
52,,,,,,,
53,3.0,,,,,,
54,2.0,5.0,2.0,5.0,2.0,,3.0
55,3.0,3.0,2.0,2.0,2.0,1.0,3.0
56,3.0,1.0,1.0,4.0,2.0,2.0,2.0
57,1.0,,,,,,
58,2.0,2.0,2.0,2.0,4.0,2.0,5.0
59,3.0,2.0,1.0,3.0,1.0,1.0,2.0
60,1.0,5.0,2.0,4.0,1.0,1.0,1.0
61,4.0,,,,,,
62,3.0,,,,,,
63,4.0,5.0,1.0,2.0,1.0,1.0,2.0
64,4.0,2.0,1.0,3.0,2.0,3.0,3.0
65,,4.0,3.0,,2.0,3.0,5.0
66,1.0,2.0,1.0,4.0,2.0,2.0,2.0
67,2.0,3.0,2.0,5.0,1.0,1.0,1.0
68,1.0,1.0,1.0,4.0,1.0,1.0,2.0
69,4.0,,,,,,
70,,3.0,2.0,5.0,1.0,1.0,1.0
71,3.0,3.0,2.0,4.0,1.0,1.0,3.0
72,4.0,4.0,1.0,1.0,2.0,2.0,3.0
73,1.0,,,,,,
74,3.0,4.0,4.0,2.0,2.0,2.0,5.0
75,4.0,3.0,2.0,4.0,2.0,1.0,3.0
76,1.0,3.0,3.0,5.0,,,4.0
77,3.0,2.0,1.0,4.0,2.0,1.0,3.0
78,4.0,3.0,2.0,5.0,2.0,1.0,4.0
79,4.0,3.0,2.0,3.0,,2.0,3.0
80,3.0,5.0,3.0,5.0,2.0,2.0,3.0
81,4.0,4.0,3.0,4.0,1.0,1.0,3.0
82,1.0,,,,,,
83,3.0,,,,,,
84,4.0,,,,,,
85,2.0,5.0,3.0,3.0,,,1.0
86,2.0,3.0,2.0,3.0,3.0,3.0,1.0
87,4.0,1.0,1.0,5.0,1.0,1.0,2.0
88,,2.0,1.0,3.0,2.0,2.0,2.0
89,1.0,,,,,,
90,3.0,4.0,2.0,3.0,2.0,2.0,3.0
91,4.0,3.0,1.0,2.0,1.0,1.0,2.0
92,3.0,5.0,4.0,5.0,2.0,3.0,5.0
93,4.0,3.0,1.0,3.0,2.0,2.0,2.0
94,3.0,4.0,2.0,4.0,2.0,1.0,3.0
95,4.0,,,,,,
96,4.0,3.0,2.0,4.0,2.0,1.0,3.0
97,1.0,2.0,2.0,5.0,,,2.0
98,3.0,,1.0,5.0,,,2.0
99,3.0,3.0,2.0,2.0,2.0,2.0,3.0
100,4.0,4.0,3.0,,2.0,2.0,3.0
101,3.0,2.0,2.0,4.0,1.0,1.0,2.0
102,2.0,2.0,1.0,2.0,1.0,2.0,2.0
103,3.0,,,,,,
104,4.0,,,,,,
105,3.0,1.0,1.0,5.0,2.0,2.0,2.0
106,1.0,2.0,2.0,2.0,2.0,2.0,4.0
107,3.0,3.0,1.0,5.0,1.0,1.0,1.0
108,3.0,2.0,2.0,2.0,2.0,2.0,4.0
109,4.0,,,,,,
110,1.0,1.0,1.0,3.0,1.0,1.0,1.0
111,2.0,4.0,2.0,3.0,2.0,2.0,3.0
112,4.0,4.0,2.0,5.0,2.0,2.0,3.0
113,3.0,,,,,,
114,2.0,2.0,2.0,3.0,2.0,2.0,3.0
115,4.0,,,,,,
116,3.0,5.0,2.0,5.0,4.0,2.0,3.0
117,2.0,,,,,,
118,1.0,3.0,1.0,3.0,2.0,2.0,2.0
119,4.0,1.0,1.0,4.0,2.0,2.0,1.0
120,,2.0,2.0,3.0,1.0,1.0,3.0
121,4.0,3.0,4.0,3.0,2.0,2.0,3.0
122,2.0,2.0,1.0,2.0,2.0,2.0,3.0
123,2.0,2.0,2.0,2.0,2.0,2.0,3.0
124,3.0,2.0,1.0,3.0,1.0,1.0,2.0
125,1.0,3.0,1.0,4.0,2.0,1.0,3.0
126,2.0,2.0,3.0,3.0,2.0,2.0,4.0
127,1.0,2.0,1.0,3.0,2.0,2.0,3.0
128,,,,,,,
129,1.0,,,,,,
130,1.0,5.0,5.0,1.0,2.0,3.0,7.0
131,4.0,,,,,,
132,4.0,2.0,1.0,5.0,1.0,1.0,1.0
133,2.0,,,,,,
134,,4.0,2.0,2.0,3.0,3.0,3.0
135,,,,,,,
136,4.0,4.0,2.0,4.0,2.0,2.0,3.0
137,3.0,2.0,2.0,2.0,2.0,2.0,3.0
138,,4.0,1.0,2.0,2.0,2.0,3.0
139,4.0,3.0,2.0,2.0,2.0,2.0,2.0
140,,2.0,1.0,4.0,2.0,1.0,2.0
141,,3.0,2.0,5.0,1.0,2.0,2.0
142,,2.0,2.0,4.0,2.0,2.0,3.0
143,4.0,,,,,,
144,4.0,2.0,2.0,3.0,2.0,2.0,2.0
145,,,,,,,
146,4.0,3.0,2.0,3.0,2.0,1.0,3.0
147,3.0,2.0,1.0,,1.0,1.0,1.0
148,4.0,,,,,,
149,4.0,,,,,,
150,3.0,2.0,2.0,4.0,2.0,2.0,3.0
151,4.0,3.0,2.0,4.0,2.0,1.0,3.0
152,3.0,3.0,2.0,5.0,1.0,1.0,1.0
153,1.0,,,,,,
154,3.0,3.0,1.0,4.0,1.0,1.0,2.0
