Sample No,Job_Retention_V13,Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,Job_Satisfaction_V44
1,4.0,3.0,1.0,3.0,1.0,1.0,2.0
2,2.0,1.0,1.0,2.0,3.0,2.0,4.0
3,3.0,2.0,2.0,3.0,,2.0,3.0
4,3.0,3.0,2.0,4.0,2.0,2.0,2.0
5,2.0,,,,,,
6,1.0,2.0,2.0,5.0,1.0,2.0,1.0
7,,2.0,2.0,2.0,2.0,1.0,2.0
8,1.0,,,,,,
9,4.0,4.0,1.0,4.0,2.0,1.0,2.0
10,3.0,2.0,1.0,3.0,4.0,2.0,2.0
11,3.0,,,,,,
12,,2.0,2.0,3.0,1.0,1.0,2.0
13,,,,,,,
14,3.0,3.0,2.0,4.0,2.0,2.0,2.0
15,2.0,,,,,,
16,1.0,5.0,2.0,3.0,2.0,2.0,2.0
17,2.0,,,,,,
18,4.0,2.0,1.0,2.0,2.0,1.0,1.0
19,1.0,4.0,2.0,3.0,2.0,2.0,3.0
20,3.0,,,,,,
21,4.0,2.0,,5.0,1.0,,1.0
22,4.0,5.0,1.0,5.0,1.0,1.0,1.0
23,4.0,,,,,,
24,,3.0,1.0,5.0,2.0,2.0,2.0
25,4.0,3.0,2.0,4.0,1.0,1.0,2.0
26,3.0,2.0,1.0,3.0,2.0,1.0,1.0
27,3.0,1.0,1.0,3.0,5.0,1.0,2.0
28,4.0,3.0,3.0,2.0,2.0,1.0,3.0
29,3.0,3.0,2.0,3.0,1.0,1.0,2.0
30,4.0,4.0,3.0,3.0,3.0,3.0,5.0
31,4.0,1.0,1.0,5.0,2.0,2.0,1.0
32,3.0,2.0,1.0,4.0,2.0,1.0,2.0
33,4.0,2.0,2.0,4.0,1.0,1.0,1.0
34,,1.0,1.0,3.0,2.0,2.0,3.0
35,4.0,2.0,1.0,4.0,2.0,1.0,1.0
36,4.0,,,,,,
37,,,,,,,
38,3.0,4.0,2.0,4.0,2.0,2.0,2.0
39,,,,,,,
40,4.0,2.0,1.0,4.0,3.0,2.0,2.0
41,3.0,3.0,2.0,4.0,1.0,1.0,2.0
42,3.0,2.0,1.0,4.0,2.0,1.0,3.0
43,4.0,5.0,2.0,2.0,5.0,1.0,5.0
44,3.0,4.0,2.0,2.0,2.0,2.0,5.0
45,4.0,3.0,2.0,4.0,1.0,1.0,2.0
46,3.0,3.0,2.0,4.0,2.0,1.0,3.0
47,1.0,3.0,1.0,3.0,2.0,2.0,2.0
48,4.0,,1.0,4.0,1.0,1.0,2.0
49,1.0,5.0,3.0,2.0,5.0,4.0,7.0
50,4.0,3.0,2.0,3.0,1.0,1.0,3.0
51,4.0,,,,,,
52,4.0,2.0,1.0,3.0,1.0,1.0,2.0
53,1.0,3.0,1.0,4.0,2.0,1.0,3.0
54,3.0,4.0,3.0,5.0,2.0,2.0,3.0
55,1.0,5.0,3.0,2.0,2.0,1.0,4.0
56,3.0,3.0,2.0,4.0,4.0,1.0,3.0
57,,3.0,2.0,4.0,2.0,1.0,2.0
58,1.0,4.0,4.0,5.0,,,1.0
59,4.0,3.0,3.0,4.0,3.0,1.0,3.0
60,4.0,2.0,2.0,3.0,2.0,2.0,2.0
61,4.0,1.0,1.0,3.0,2.0,1.0,2.0
62,2.0,4.0,3.0,2.0,3.0,2.0,5.0
63,,3.0,2.0,4.0,2.0,2.0,2.0
64,1.0,4.0,2.0,2.0,2.0,2.0,3.0
65,2.0,3.0,2.0,3.0,,,1.0
66,,3.0,2.0,3.0,1.0,1.0,2.0
67,3.0,,,,,,
68,2.0,4.0,1.0,4.0,1.0,1.0,2.0
69,1.0,2.0,1.0,2.0,2.0,2.0,2.0
70,2.0,3.0,2.0,2.0,2.0,2.0,3.0
71,4.0,1.0,1.0,4.0,1.0,1.0,1.0
72,1.0,3.0,3.0,2.0,3.0,3.0,5.0
73,1.0,5.0,2.0,5.0,2.0,2.0,3.0
74,2.0,,,,,,
75,3.0,,,,,,
76,2.0,2.0,2.0,2.0,2.0,2.0,3.0
77,3.0,4.0,4.0,3.0,3.0,2.0,4.0
78,4.0,3.0,3.0,5.0,4.0,1.0,3.0
79,4.0,,,,,,
80,4.0,,,,,,
81,4.0,4.0,2.0,5.0,2.0,2.0,1.0
82,1.0,2.0,2.0,3.0,2.0,2.0,4.0
83,3.0,1.0,1.0,4.0,2.0,1.0,2.0
84,4.0,,,,,,
85,4.0,,,,,,
86,4.0,3.0,1.0,3.0,2.0,2.0,2.0
87,3.0,,,,,,
88,4.0,3.0,1.0,3.0,2.0,1.0,2.0
89,4.0,,,,,,
90,1.0,,,2.0,2.0,2.0,3.0
91,1.0,,,,,,
92,4.0,3.0,1.0,5.0,1.0,1.0,2.0
93,3.0,4.0,3.0,5.0,2.0,2.0,4.0
94,4.0,2.0,1.0,5.0,3.0,2.0,2.0
95,3.0,3.0,1.0,4.0,1.0,1.0,2.0
96,2.0,3.0,2.0,3.0,3.0,2.0,2.0
97,1.0,3.0,2.0,3.0,3.0,3.0,4.0
98,2.0,4.0,1.0,3.0,1.0,2.0,4.0
99,1.0,3.0,2.0,3.0,2.0,1.0,2.0
100,2.0,,,,,,
101,4.0,2.0,3.0,2.0,2.0,1.0,3.0
102,1.0,,,,,,
103,3.0,2.0,2.0,2.0,2.0,2.0,3.0
104,,,,,,,
105,4.0,,,,,,
106,3.0,2.0,2.0,2.0,2.0,2.0,3.0
107,4.0,,,,,,
108,1.0,3.0,2.0,2.0,2.0,2.0,3.0
109,4.0,2.0,1.0,3.0,2.0,1.0,2.0
110,4.0,,,,,,
111,4.0,2.0,1.0,3.0,2.0,1.0,2.0
112,2.0,4.0,2.0,2.0,3.0,2.0,5.0
113,4.0,5.0,2.0,2.0,2.0,3.0,2.0
114,4.0,,,,,,
115,4.0,,,,,,
116,4.0,5.0,2.0,2.0,4.0,1.0,4.0
117,4.0,4.0,3.0,5.0,1.0,1.0,3.0
118,4.0,3.0,2.0,5.0,2.0,2.0,2.0
119,4.0,,,,,,
120,1.0,3.0,1.0,3.0,1.0,1.0,2.0
121,,,,,,,
122,4.0,,,,,,
123,4.0,,,,,,
124,4.0,2.0,2.0,3.0,4.0,1.0,2.0
125,2.0,2.0,2.0,4.0,1.0,1.0,2.0
126,3.0,2.0,2.0,2.0,2.0,1.0,5.0
127,,2.0,2.0,,4.0,1.0,3.0
128,1.0,5.0,1.0,2.0,2.0,5.0,5.0
129,1.0,,,,,,
130,4.0,4.0,3.0,4.0,2.0,1.0,3.0
131,4.0,,,,,,
132,4.0,,,,,,
133,2.0,,,,,,
134,4.0,2.0,2.0,3.0,3.0,2.0,3.0
135,1.0,3.0,2.0,2.0,2.0,2.0,4.0
136,,,,,,,
137,1.0,4.0,2.0,3.0,4.0,1.0,5.0
138,,,,,,,
139,3.0,,,1.0,1.0,1.0,3.0
140,1.0,3.0,3.0,3.0,4.0,4.0,3.0
141,4.0,3.0,2.0,3.0,1.0,1.0,2.0
142,4.0,,,,,,
143,,,,,,,
144,,,,,,,
145,3.0,3.0,1.0,2.0,1.0,2.0,3.0
146,4.0,2.0,2.0,2.0,2.0,2.0,4.0
147,4.0,1.0,1.0,4.0,2.0,1.0,1.0
148,4.0,4.0,2.0,3.0,2.0,1.0,3.0
149,3.0,4.0,1.0,2.0,4.0,2.0,2.0
150,2.0,,,,,,
151,3.0,,,,,,
152,3.0,2.0,1.0,3.0,1.0,1.0,2.0
153,3.0,,,,,,
154,,,,,,,
155,2.0,5.0,5.0,2.0,4.0,3.0,6.0
156,1.0,3.0,1.0,5.0,1.0,1.0,1.0
157,4.0,3.0,1.0,4.0,2.0,1.0,2.0
158,4.0,3.0,3.0,5.0,1.0,2.0,2.0
159,4.0,,,,,,
160,1.0,,4.0,2.0,3.0,,5.0
161,4.0,3.0,2.0,4.0,4.0,2.0,2.0
162,1.0,5.0,5.0,5.0,3.0,3.0,4.0
163,,5.0,3.0,,3.0,1.0,2.0
164,4.0,,,,,,
165,,4.0,2.0,4.0,3.0,2.0,2.0
166,,4.0,2.0,5.0,4.0,2.0,3.0
167,2.0,3.0,3.0,3.0,2.0,2.0,4.0
168,3.0,2.0,2.0,3.0,3.0,2.0,3.0
169,3.0,,,,,,
170,4.0,1.0,1.0,1.0,1.0,1.0,2.0
